map_id,title_ja,title_en,sheet_code,region_code,region_folder,pub_year,publication_status,zfk_available,zfk_units,shape_available,pdf_available,attribute_available,xml_available,kml_available,geotiff_available,viewer_available,legend_image_available,map_image_available,local_shape,local_pdf,local_zfk,source_combination,recommended_route,confidence_ceiling,requires_llm,work_status,review_units,unit_name_filled,lithology_filled,sort_order_filled,conflict_count,next_action,review_path,submission_path,shape_url,pdf_url,attribute_url,viewer_url,legend_image_url,source_scale
82,5万分の1地質図幅「目梨泊」 (1961),Menashidomari,01001,01,01_宗谷,1961,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=82,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_82_legend_122.jpg,"1:50,000"
83,5万分の1地質図幅「枝幸」 (1962),Esashi,01002,01,01_宗谷,1962,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01002_1962_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=83,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_83_legend_123.jpg,"1:50,000"
84,5万分の1地質図幅「乙忠部」 (1961),Otchube,01003,01,01_宗谷,1961,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01003_1961_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=84,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_84_legend_124.jpg,"1:50,000"
85,5万分の1地質図幅「音標」 (1959),Otoshibetsu,01004,01,01_宗谷,1959,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=85,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_85_legend_125.jpg,"1:50,000"
86,5万分の1地質図幅「仁宇布」 (1960),Niupu,01005,01,01_宗谷,1960,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=86,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_86_legend_126.jpg,"1:50,000"
87,5万分の1地質図幅「雄武」 (1966),Omu,01006,01,01_宗谷,1966,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=87,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_87_legend_127.jpg,"1:50,000"
88,5万分の1地質図幅「沢木」 (1964),Sawaki,01007,01,01_宗谷,1964,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=88,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_88_legend_128.jpg,"1:50,000"
89,5万分の1地質図幅「サンル」 (1960),Sanru,01008,01,01_宗谷,1960,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=89,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_89_legend_129.jpg,"1:50,000"
90,5万分の1地質図幅「上興部」 (1969),Kamiokoppe,01009,01,01_宗谷,1969,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01009_1969_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=90,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_90_legend_130.jpg,"1:50,000"
91,5万分の1地質図幅「興部」 (1974),Okoppe,01010,01,01_宗谷,1975,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=91,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_91_legend_131.jpg,"1:50,000"
92,5万分の1地質図幅「紋別」 (1968),Monbetsu,01011,01,01_宗谷,1968,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=92,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_92_legend_132.jpg,"1:50,000"
93,5万分の1地質図幅「下川」 (1955),Shimokawa,01012,01,01_宗谷,1955,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=93,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_93_legend_133.jpg,"1:50,000"
94,5万分の1地質図幅「西興部」 (1980),Nshiokoppe,01013,01,01_宗谷,1980,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=94,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_94_legend_134.jpg,"1:50,000"
764,5万分の1地質図幅「滝上」 (2002),Takinoue,01014,01,01_宗谷,2002,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=764,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_764_legend_135.jpg,"1:50,000"
765,5万分の1地質図幅「上渚滑」 (2002),Kamishokotsu,01015,01,01_宗谷,2002,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=765,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_765_legend_136.jpg,"1:50,000"
95,5万分の1地質図幅「中湧別」 (1962),Nakayubetsu,01016,01,01_宗谷,1962,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01016_1962_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=95,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_95_legend_137.jpg,"1:50,000"
97,5万分の1地質図幅「ルシャ川」 (1965),Rushagawa,01018,01,01_宗谷,1965,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01018_1965_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=97,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_97_legend_139.jpg,"1:50,000"
98,5万分の1地質図幅「知床岬」 (1971),Shiretokomisaki,01019,01,01_宗谷,1971,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01019_1971_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=98,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_98_legend_140.jpg,"1:50,000"
99,5万分の1地質図幅「奥士別」 (1952),Okushibetsu,01020,01,01_宗谷,1952,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=99,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_99_legend_141.jpg,"1:50,000"
100,5万分の1地質図幅「渚滑岳」 (1981),Shokotsudake,01021,01,01_宗谷,1981,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=100,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_100_legend_142.jpg,"1:50,000"
1137,5万分の1地質図幅「立牛」 (2008),Tatsuushi,01022,01,01_宗谷,2008,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=1137,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_1137_legend_143.jpg,"1:50,000"
101,5万分の1地質図幅「丸瀬布北部」 (1988),Maruseppu-N,01023,01,01_宗谷,1988,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=101,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_101_legend_144.jpg,"1:50,000"
102,5万分の1地質図幅「遠軽」 (1991),Engaru,01024,01,01_宗谷,1991,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=102,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_102_legend_145.jpg,"1:50,000"
96,5万分の1地質図幅「三里番屋・サロマ湖」 (1964),Saromako & Sanribanya,01025,01,01_宗谷,1964,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01025_1964_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=96,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_96_legend_138.jpg,"1:50,000"
1284,5万分の1地質図幅「網走」 (2018),Abashiri,01026,01,01_宗谷,2018,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01026_2018_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=1284,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_1284_legend_1247.jpg,"1:50,000"
103,5万分の1地質図幅「網走1961」 (1961),Abashiri,01027,01,01_宗谷,1961,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01027_1961_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=103,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_103_legend_146.jpg,"1:50,000"
104,5万分の1地質図幅「宇登呂」 (1961),Utoro,01028,01,01_宗谷,1961,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01028_1961_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=104,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_104_legend_147.jpg,"1:50,000"
105,5万分の1地質図幅「羅臼・知円別」 (1970),Rausu & Chienbetsu,01029,01,01_宗谷,1970,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01029_1970_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=105,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_105_legend_148.jpg,"1:50,000"
106,5万分の1地質図幅「愛別」 (1964),Aibetsu,01031,01,01_宗谷,1964,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=106,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_106_legend_149.jpg,"1:50,000"
107,5万分の1地質図幅「上川」 (1970),Kamikawa,01032,01,01_宗谷,1970,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01032_1970_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=107,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_107_legend_150.jpg,"1:50,000"
108,5万分の1地質図幅「白滝」 (1964),Shirataki,01033,01,01_宗谷,1964,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01033_1964_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=108,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_108_legend_151.jpg,"1:50,000"
109,5万分の1地質図幅「丸瀬布」 (1967),Maruseppu,01034,01,01_宗谷,1967,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01034_1967_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=109,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_109_legend_152.jpg,"1:50,000"
110,5万分の1地質図幅「生田原」 (1963),Ikutawara,01035,01,01_宗谷,1963,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01035_1963_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=110,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_110_legend_153.jpg,"1:50,000"
111,5万分の1地質図幅「端野」 (1968),Tanno,01036,01,01_宗谷,1968,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01036_1968_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=111,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_111_legend_154.jpg,"1:50,000"
112,5万分の1地質図幅「小清水」 (1959),Koshimizu,01038,01,01_宗谷,1959,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01038_1959_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=112,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_112_legend_155.jpg,"1:50,000"
113,5万分の1地質図幅「斜里」 (1960),Syari,01039,01,01_宗谷,1960,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=113,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_113_legend_156.jpg,"1:50,000"
114,5万分の1地質図幅「峰浜」 (1962),Minehama,01040,01,01_宗谷,1962,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01040_1962_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=114,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_114_legend_157.jpg,"1:50,000"
115,5万分の1地質図幅「春苅古丹」 (1963),Shunkarikotan,01041,01,01_宗谷,1963,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01041_1963_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=115,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_115_legend_158.jpg,"1:50,000"
116,5万分の1地質図幅「当麻」 (1966),Toma,01042,01,01_宗谷,1966,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01042_1966_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=116,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_116_legend_159.jpg,"1:50,000"
117,5万分の1地質図幅「大雪山」 (1966),Taisetsuzan,01043,01,01_宗谷,1966,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01043_1966_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=117,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_117_legend_160.jpg,"1:50,000"
118,5万分の1地質図幅「上支湧別」 (1961),Kamishiyubetsu,01044,01,01_宗谷,1961,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01044_1961_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=118,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_118_legend_161.jpg,"1:50,000"
119,5万分の1地質図幅「北見富士」 (1964),Kitamifuji,01045,01,01_宗谷,1964,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01045_1964_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=119,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_119_legend_162.jpg,"1:50,000"
120,5万分の1地質図幅「留辺蕊」 (1965),Rubeshibe,01046,01,01_宗谷,1965,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01046_1965_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=120,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_120_legend_163.jpg,"1:50,000"
121,5万分の1地質図幅「北見」 (1968),Kitami,01047,01,01_宗谷,1968,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01047_1968_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=121,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_121_legend_164.jpg,"1:50,000"
122,5万分の1地質図幅「美幌」 (1970),Bihoro,01048,01,01_宗谷,1970,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01048_1970_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=122,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_122_legend_165.jpg,"1:50,000"
123,5万分の1地質図幅「藻琴山」 (1963),Mokotoyama,01049,01,01_宗谷,1963,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01049_1963_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=123,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_123_legend_166.jpg,"1:50,000"
124,5万分の1地質図幅「斜里岳」 (1959),Syaridake,01050,01,01_宗谷,1959,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=124,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_124_legend_167.jpg,"1:50,000"
125,5万分の1地質図幅「武佐岳」 (1960),Musadake,01051,01,01_宗谷,1960,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=125,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_125_legend_168.jpg,"1:50,000"
126,5万分の1地質図幅「薫別」 (1961),Kunbetsu,01052,01,01_宗谷,1961,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=126,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_126_legend_169.jpg,"1:50,000"
127,5万分の1地質図幅「志比内」 (1968),Shibinai,01053,01,01_宗谷,1968,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01053_1970_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=127,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_127_legend_170.jpg,"1:50,000"
128,5万分の1地質図幅「旭岳」 (1968),Asahidake,01054,01,01_宗谷,1968,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01054_1968_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=128,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_128_legend_171.jpg,"1:50,000"
129,5万分の1地質図幅「石狩岳」 (1960),Ishikaridake,01055,01,01_宗谷,1960,cached,False,,False,False,False,False,True,True,True,True,True,False,False,False,ViewerImage,図幅画像→OCR/Vision→人確認,C,True,未着手,0,0,0,0,0,50k凡例画像をOCR/Vision抽出し目視確認,,,,,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=129,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_129_legend_172.jpg,"1:50,000"
130,5万分の1地質図幅「常元」 (1964),Tsunemoto,01056,01,01_宗谷,1964,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01056_1964_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=130,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_130_legend_173.jpg,"1:50,000"
131,5万分の1地質図幅「小利別」 (1963),Shotoshibetsu,01057,01,01_宗谷,1963,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01057_1963_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=131,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_131_legend_174.jpg,"1:50,000"
132,5万分の1地質図幅「本岐」 (1965),Honki,01058,01,01_宗谷,1965,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01058_1965_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=132,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_132_legend_175.jpg,"1:50,000"
133,5万分の1地質図幅「上里」 (1966),Kamisato,01059,01,01_宗谷,1966,cached,False,,False,True,False,False,True,True,True,True,True,False,False,False,PDF,PDF→LLM→引用検証,C,True,未着手,0,0,0,0,0,PDFをLLM抽出し引用を機械照合,,,,https://www.gsj.jp/data/50KGM/PDF/GSJ_MAP_G050_01059_1966_D.pdf,,https://gbank.gsj.jp/geonavi/geonavi.php?layers=133,https://gbank.gsj.jp/ld/resource/image/map/gsj_map_133_legend_176.jpg,"1:50,000"
